Seg_num,Seg_name,2nd_num
0,Background,none
1,PrecentralL,2001
2,PrecentralR,2002
3,FrontalSupL,2101
4,FrontalSupR,2102
5,FrontalSupOrbL,2111
6,FrontalSupOrbR,2112
7,FrontalMidL,2201
8,FrontalMidR,2202
9,FrontalMidOrbL,2211
10,FrontalMidOrbR,2212
11,FrontalInfOperL,2301
12,FrontalInfOperR,2302
13,FrontalInfTriL,2311
14,FrontalInfTriR,2312
15,FrontalInfOrbL,2321
16,FrontalInfOrbR,2322
17,RolandicOperL,2331
18,RolandicOperR,2332
19,SuppMotorAreaL,2401
20,SuppMotorAreaR,2402
21,OlfactoryL,2501
22,OlfactoryR,2502
23,FrontalSupMedialL,2601
24,FrontalSupMedialR,2602
25,FrontalMedOrbL,2611
26,FrontalMedOrbR,2612
27,RectusL,2701
28,RectusR,2702
29,InsulaL,3001
30,InsulaR,3002
31,CingulumAntL,4001
32,CingulumAntR,4002
33,CingulumMidL,4011
34,CingulumMidR,4012
35,CingulumPostL,4021
36,CingulumPostR,4022
37,HippocampusL,4101
38,HippocampusR,4102
39,ParaHippocampalL,4111
40,ParaHippocampalR,4112
41,AmygdalaL,4201
42,AmygdalaR,4202
43,CalcarineL,5001
44,CalcarineR,5002
45,CuneusL,5011
46,CuneusR,5012
47,LingualL,5021
48,LingualR,5022
49,OccipitalSupL,5101
50,OccipitalSupR,5102
51,OccipitalMidL,5201
52,OccipitalMidR,5202
53,OccipitalInfL,5301
54,OccipitalInfR,5302
55,FusiformL,5401
56,FusiformR,5402
57,PostcentralL,6001
58,PostcentralR,6002
59,ParietalSupL,6101
60,ParietalSupR,6102
61,ParietalInfL,6201
62,ParietalInfR,6202
63,SupraMarginalL,6211
64,SupraMarginalR,6212
65,AngularL,6221
66,AngularR,6222
67,PrecuneusL,6301
68,PrecuneusR,6302
69,ParacentralLobuleL,6401
70,ParacentralLobuleR,6402
71,CaudateL,7001
72,CaudateR,7002
73,PutamenL,7011
74,PutamenR,7012
75,PallidumL,7021
76,PallidumR,7022
77,ThalamusL,7101
78,ThalamusR,7102
79,HeschlL,8101
80,HeschlR,8102
81,TemporalSupL,8111
82,TemporalSupR,8112
83,TemporalPoleSupL,8121
84,TemporalPoleSupR,8122
85,TemporalMidL,8201
86,TemporalMidR,8202
87,TemporalPoleMidL,8211
88,TemporalPoleMidR,8212
89,TemporalInfL,8301
90,TemporalInfR,8302
91,CerebelumCrus1L,9001
92,CerebelumCrus1R,9002
93,CerebelumCrus2L,9011
94,CerebelumCrus2R,9012
95,Cerebelum3L,9021
96,Cerebelum3R,9022
97,Cerebelum45L,9031
98,Cerebelum45R,9032
99,Cerebelum6L,9041
100,Cerebelum6R,9042
101,Cerebelum7bL,9051
102,Cerebelum7bR,9052
103,Cerebelum8L,9061
104,Cerebelum8R,9062
105,Cerebelum9L,9071
106,Cerebelum9R,9072
107,Cerebelum10L,9081
108,Cerebelum10R,9082
109,Vermis12,9100
110,Vermis3,9110
111,Vermis45,9120
112,Vermis6,9130
113,Vermis7,9140
114,Vermis8,9150
115,Vermis9,9160
116,Vermis10,9170
